what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1331333461872
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1331333463104
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1331333463104
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1331333465023
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1331333465023
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331333466505
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1331333466505
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1331333473869
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1331333473947
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331333546987
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1331333551511
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1331333551558
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1331333551714
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1331333551776
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1331333551776
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1331333552026
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1331333552057
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1331333552166
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1331333552260
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1331333552369
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1331333552525
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1331333552525
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1331333552743
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1331333552759
started,bundle,org.eclipse.jst.jsf.ui,1.3.2.v201104251204,"org.eclipse.jst.jsf.ui",1331333563741
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1331333565660
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1331333565738
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1331333565801
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331333576175
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1331333576627
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1331333576736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333584802
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1331333585020
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1331333585020
started,bundle,org.eclipse.wst.server.http.core,1.0.200.v20090429,"org.eclipse.wst.server.http.core",1331333585129
started,bundle,org.eclipse.wst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.wst.server.preview.adapter",1331333585129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333586518
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1331333586705
error,log,,,"Could not publish server configuration for Tomcat v7.0 Server at localhost.",1331333586783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333586798
error,log,,,"Two or more Web modules defined in the configuration have the same context root (/MyPMScrumV31). To start this server you will need to remove the duplicate(s).",1331333586908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333588218
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331333592586
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1331333592851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333596970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333600105
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1331333600168
error,log,,,"Two or more Web modules defined in the configuration have the same context root (/MyPMScrumV31). To start this server you will need to remove the duplicate(s).",1331333600230
error,log,,,"Could not publish server configuration for Tomcat v7.0 Server at localhost.",1331333600308
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333600308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333605175
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333612976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333614676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333614738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333615487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333623568
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1331333624957
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331333632179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333636781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333641274
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1331333641321
error,log,,,"Two or more Web modules defined in the configuration have the same context root (/MyPMScrumV31). To start this server you will need to remove the duplicate(s).",1331333641384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333641384
error,log,,,"Could not publish server configuration for Tomcat v7.0 Server at localhost.",1331333641446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333645674
error,log,,,"Could not publish server configuration for Tomcat v7.0 Server at localhost.",1331333654223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333654223
error,log,,,"Two or more Web modules defined in the configuration have the same context root (/MyPMScrumV31). To start this server you will need to remove the duplicate(s).",1331333654285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333659792
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1331333665283
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1331333665423
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1331333665423
closed,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1331333666827
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1331333668122
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1331333668122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333673208
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1331333674643
started,bundle,org.eclipse.wst.jsdt.debug.core,2.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.core",1331333674659
